,level,district_code,district_name,school_code,school_name,grade,num_total_rec,num_valid_scores,num_no_scores,participation_rate,mean_scale_score_19,std_scale_score_19,mean_scale_score_18,num_pme_19,percent_pme_19,num_ae_19,percent_ae_19,num_me_19,percent_me_19,num_ee_19,percent_ee_19,num_me_or_ee_19,percent_me_or_ee_19,num_me_or_ee_18,percent_me_or_ee_18,change_in_me_or_ee
15,DISTRICT,0010,MAPLETON 1,0000,All Schools,All Grades,"   2,024","   1,666",     358,82.3,544,104,545,     814,48.9,     627,37.6,     219,13.1,       6,0.4,     225,13.5,     197,12.0,1.5
16,DISTRICT,0010,MAPLETON 1,0000,All Schools,05,     626,     571,      55,91.2,546,97,547,     281,49.2,     200,35.0,0,0.0,0,0.0,      90,15.8,      68,13.2,2.6
17,DISTRICT,0010,MAPLETON 1,0000,All Schools,08,     703,     591,     112,84.1,527,109,528,     340,57.5,     181,30.6,      67,11.3,       3,0.5,      70,11.8,      69,10.7,1.1
18,DISTRICT,0010,MAPLETON 1,0000,All Schools,HS,     695,     504,     191,72.5,563,103,567,     193,38.3,     246,48.8,0,0.0,0,0.0,      65,12.9,      60,12.4,0.5
19,DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,All Schools,All Grades,"   8,842","   7,793","   1,049",88.1,591,120,591,"   2,605",33.4,"   2,672",34.3,"   2,217",28.4,     299,3.8,"   2,516",32.3,"   2,548",32.0,0.3
20,DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,All Schools,05,"   3,018","   2,970",      48,98.4,606,117,599,     812,27.3,     975,32.8,"   1,008",33.9,     175,5.9,"   1,183",39.8,"   1,087",36.6,3.2
21,DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,All Schools,08,"   2,923","   2,736",     187,93.6,588,124,583,"   1,020",37.3,     781,28.5,     845,30.9,      90,3.3,     935,34.2,     951,33.4,0.8
22,DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,All Schools,HS,"   2,901","   2,087",     814,71.9,571,115,592,     773,37.0,     916,43.9,     364,17.4,      34,1.6,     398,19.1,     510,23.7,-4.6
23,DISTRICT,0030,ADAMS COUNTY 14,0000,All Schools,All Grades,"   1,492","   1,286",     206,86.2,518,103,522,     756,58.8,     420,32.7,0,0.0,0,0.0,     110,8.6,     119,8.5,0.1
24,DISTRICT,0030,ADAMS COUNTY 14,0000,All Schools,05,     533,     523,      10,98.1,516,107,510,     307,58.7,     156,29.8,0,0.0,0,0.0,      60,11.5,      44,7.8,3.7
25,DISTRICT,0030,ADAMS COUNTY 14,0000,All Schools,08,     530,     470,      60,88.7,517,106,512,     282,60.0,     144,30.6,0,0.0,0,0.0,      44,9.4,      48,9.5,-0.1
26,DISTRICT,0030,ADAMS COUNTY 14,0000,All Schools,HS,     429,     293,     136,68.3,521,92,555,     167,57.0,     120,41.0,0,0.0,0,0.0,       6,2.0,      27,8.2,-6.2
27,DISTRICT,0040,SCHOOL DISTRICT 27J,0000,All Schools,All Grades,"   4,036","   3,213",     823,79.6,565,114,577,"   1,306",40.6,"   1,166",36.3,     695,21.6,      46,1.4,     741,23.1,     783,25.4,-2.3
